protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2,num_bases_used,bell_parameter,entanglement_verified,decoy_qber,attack_detected
AB-QKD,ionq_aria,trapped_ion,10,2.0,3,0.6309573444801932,315,70,0.14,0.29040471226948367,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,4,0.6309573444801932,315,84,0.168,0.004690426555197958,0.15209374435082798,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,5,0.6309573444801932,315,92,0.184,0.11580153766630906,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,6,0.6309573444801932,315,80,0.16,0.25469042655519797,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,7,0.6309573444801932,315,83,0.166,0.004690426555197958,0.15028310453712765,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,8,0.6309573444801932,315,72,0.144,0.29040471226948367,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.0,9,0.6309573444801932,315,64,0.128,0.004690426555197958,0.11588094807682131,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,0,0.6309573444801932,315,165,0.33,0.06744042655519793,0.07132736341429588,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,1,0.6309573444801932,315,148,0.296,0.1477975694123408,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,2,0.6309573444801932,315,166,0.332,0.19244042655519794,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,3,0.6309573444801932,315,178,0.356,0.12258748537872734,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,4,0.6309573444801932,315,165,0.33,0.19244042655519794,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,5,0.6309573444801932,315,158,0.316,0.13827375988853127,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,6,0.6309573444801932,315,173,0.346,0.18141101479049207,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,7,0.6309573444801932,315,168,0.336,0.12994042655519794,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,8,0.6309573444801932,315,147,0.294,0.21922614084091221,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,2.5,9,0.6309573444801932,315,159,0.318,0.2716070932218646,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,0,0.5011872336272722,250,133,0.266,0.31318043535603496,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.0,1,0.5011872336272722,250,134,0.268,0.15933428150988108,0.0,0.9995,0.987,10000,1000,4.0,,,,
